Kode Toko,NAMA TOKO,OPENING,"UMUR TOKO
(TAHUN)",JARAK TEMPUH,"WAKTU TEMPUH
(HARI:JAM:MENIT)",KATEGORI WILAYAH,KELURAHAN,KECAMATAN,KAB/KOTA,KODE POS,KOORDINAT GPS
FC2K,JATIMULYA 1,3-Agu-92,33,"58,4",0 hari 1 jam 4 menit,Menengah,JATI MULYA,TAMBUN SELATAN,BEKASI,17510,-6.26722222 107.01897222
T034,HARAPAN BARU,21-Sep-92,33,"69,8",0 hari 1 jam 16 menit,Menengah,KOTA BARU,BEKASI BARAT,KOTA BEKASI,17133,-6.21302778 106.96638889
F505,PONDOK HIJAU BEKASI,2-Des-92,33,"58,7",0 hari 1 jam 4 menit,Menengah,PENGASINAN,RAWA LUMBU,KOTA BEKASI,17115,-6.26561111 107.01152778
T051,PONDOK TIMUR,27-Sep-93,32,"60,2",0 hari 1 jam 6 menit,Menengah,JATIMULYA,TAMBUN SELATAN,BEKASI,17510,-6.279601 107.022534
T4NP,KOMPAS INDAH,21-Okt-95,30,59,0 hari 1 jam 4 menit,Menengah,MEKARSARI,TAMBUN SELATAN,BEKASI,17510,-6.258722 107.071278
T547,SUMBER ARTHA,29-Nov-96,29,"69,7",0 hari 1 jam 16 menit,Menengah,BINTARA JAYA,BEKASI BARAT,KOTA BEKASI,17136,-6.249299 106.945719
F769,KARTINI BEKASI,24-Jul-99,26,"61,1",0 hari 1 jam 7 menit,Menengah,MARGAHAYU,BEKASI TIMUR,KOTA BEKASI,17113,-6.24780556 107.00127778
F48Q,MARGAHAYU,29-Nov-99,26,"59,2",0 hari 1 jam 5 menit,Menengah,MARGAHAYU,BEKASI TIMUR,KOTA BEKASI,17113,-6.25413889 107.01872222
T2ZA,NANGKA,29-Des-99,26,"65,4",0 hari 1 jam 11 menit,Menengah,KAYURINGIN JAYA,BEKASI SELATAN,KOTA BEKASI,17144,-6.23308333 106.98211111
T05M,WIRASABA,28-Jul-00,25,"28,8",0 hari 0 jam 31 menit,DK,ADIARSA BARAT,KARAWANG BARAT,KARAWANG,41311,-6.32479297 107.31305171
TEHH,BUMI BEKASI BARU II,29-Sep-01,24,"60,3",0 hari 1 jam 6 menit,Menengah,PENGASINAN,RAWA LUMBU,KOTA BEKASI,17115,-6.26669 107.005348
F155,GRIYA BINTARA,1-Okt-01,24,"68,5",0 hari 1 jam 15 menit,Menengah,BINTARA,BEKASI BARAT,KOTA BEKASI,17134,-6.22769444 106.96083333
TL10,HARAPAN BARU II,17-Okt-01,24,"68,9",0 hari 1 jam 15 menit,Menengah,KOTA BARU,BEKASI BARAT,KOTA BEKASI,17133,-6.21038889 106.96925
T282,CUT MUTIA,24-Okt-01,24,"61,3",0 hari 1 jam 7 menit,Menengah,SEPANJANG JAYA,RAWA LUMBU,KOTA BEKASI,17113,-6.26161111 106.99913889
T286,DIPONEGORO,31-Okt-01,24,"58,4",0 hari 1 jam 4 menit,Menengah,JATI MULYA,TAMBUN SELATAN,BEKASI,17510,-6.25727778 107.03802778
TI5Q,WISMA JAYA,1-Nov-01,24,"61,5",0 hari 1 jam 7 menit,Menengah,DUREN JAYA,BEKASI TIMUR,KOTA BEKASI,17111,-6.234992 107.03064
TGKM,HARAPAN BARU REGENCY,1-Des-01,24,"69,3",0 hari 1 jam 16 menit,Menengah,KOTA BARU,BEKASI BARAT,KOTA BEKASI,17133,-6.21811111 106.95777778
F546,PURI KOSAMBI,12-Des-01,24,"19,9",0 hari 0 jam 21 menit,DK,DUREN,KLARI,KARAWANG,41371,-6.36663889 107.37919444
T296,TAMELANG,20-Des-01,24,"14,6",0 hari 0 jam 16 menit,DK,TAMELANG,PURWASARI,KARAWANG,41377,-6.38641667 107.40027778
TD02,TRIDAYA INDAH,24-Mei-02,24,"59,3",0 hari 1 jam 5 menit,Menengah,TRIDAYA SAKTI,TAMBUN SELATAN,BEKASI,17510,-6.24477778 107.07888889
T723,KEMANG PRATAMA 2,1-Jun-02,23,"63,6",0 hari 1 jam 9 menit,Menengah,BOJONG RAWA LUMBU,RAWA LUMBU,KOTA BEKASI,17116,-6.27733333 106.99022222
F226,NAROGONG II,1-Sep-02,23,"60,6",0 hari 1 jam 6 menit,Menengah,PENGASINAN,RAWA LUMBU,KOTA BEKASI,17115,-6.275969 107.008209
TZDR,TERNATE PERUMNAS III,14-Nov-02,23,"61,9",0 hari 1 jam 8 menit,Menengah,AREN JAYA,BEKASI TIMUR,KOTA BEKASI,17111,-6.239923 107.037043
F281,MANGUN JAYA 1,1-Agu-03,22,"61,3",0 hari 1 jam 7 menit,Menengah,MANGUN JAYA,TAMBUN SELATAN,BEKASI,17510,-6.246593 107.061839
F282,BUMI SETIA MEKAR,1-Agu-03,22,"60,8",0 hari 1 jam 6 menit,Menengah,AREN JAYA,BEKASI TIMUR,KOTA BEKASI,17111,-6.24375 107.03036111
TS26,CAGAK,13-Nov-03,22,"64,5",0 hari 1 jam 10 menit,Menengah,JALAN CAGAK,JALAN CAGAK,SUBANG,41281,-6.677715 107.684588
F817,GRAHA HARAPAN BEKASI,19-Des-03,22,"58,9",0 hari 1 jam 4 menit,Menengah,MUSTIKA JAYA,MUSTIKAJAYA,KOTA BEKASI,17158,-6.30394444 107.02513889
F818,BEKASI TIMUR REGENCY,24-Des-03,22,"61,6",0 hari 1 jam 7 menit,Menengah,CIMUNING,MUSTIKAJAYA,KOTA BEKASI,17155,-6.322111 107.018333
TVOU,PATUHA,20-Okt-04,21,"64,9",0 hari 1 jam 11 menit,Menengah,KAYURINGIN JAYA,BEKASI SELATAN,KOTA BEKASI,17144,-6.23702778 106.98677778
TY5P,GRAHA PRIMA BEKASI,26-Okt-04,21,"64,7",0 hari 1 jam 11 menit,Menengah,MANGUN JAYA,TAMBUN SELATAN,BEKASI,17510,-6.22272222 107.06086111
FIQJ,TRIAS TAMBUN,6-Jan-05,21,60,0 hari 1 jam 6 menit,Menengah,WANASARI,CIBITUNG,BEKASI,17520,-6.25075 107.08236111
TJCZ,PURWADADI,27-Jun-05,20,"38,5",0 hari 0 jam 42 menit,DK,PURWADADI,PURWADADI,SUBANG,41261,-6.44988889 107.68591667
TSGA,TELUK JAMBE 21,15-Agu-05,20,"30,4",0 hari 0 jam 33 menit,DK,TELUK JAMBE,TELUKJAMBE TIMUR,KARAWANG,41360,-6.337865 107.311095
F803,TELAGA PASIR RAYA,31-Agu-05,20,"54,5",0 hari 0 jam 59 menit,Menengah,SUKASARI,SERANG BARU,BEKASI,17330,-6.37713889 107.10483333
TFDB,BUMI DAWUAN CIKAMPEK,30-Sep-05,20,"11,6",0 hari 0 jam 12 menit,DK,DAWUAN TENGAH,CIKAMPEK,KARAWANG,41373,-6.391445 107.43957
T940,BUNDER PURWAKARTA,28-Nov-05,20,"25,4",0 hari 0 jam 27 menit,DK,BUNDAR,JATILUHUR,PURWAKARTA,41161,-6.56091667 107.43038889
TZI2,PLERED 2 PURWAKARTA,23-Des-05,20,"36,3",0 hari 0 jam 39 menit,DK,PLERED,PLERED,PURWAKARTA,41162,-6.640447 107.390794
TDQY,NURUL HUDA,27-Des-05,20,"69,4",0 hari 1 jam 16 menit,Menengah,BANTAR GEBANG,BANTAR GEBANG,KOTA BEKASI,17151,-6.30894444 106.98347222
T2E5,PLERED,1-Jan-06,20,"37,2",0 hari 0 jam 40 menit,DK,SINDANGSARI,PLERED,PURWAKARTA,41162,-6.64475 107.38558333
F828,KELAPA BAHAGIA,29-Mar-06,20,"56,5",0 hari 1 jam 2 menit,Menengah,TAMBUN,TAMBUN SELATAN,BEKASI,17510,-6.266896 107.067547
F849,KOTA SERANG BARU - BKS,25-Jul-06,19,"56,9",0 hari 1 jam 2 menit,Menengah,SUKARAGAM,SERANG BARU,BEKASI,17330,-6.393692 107.111339
TL08,MEKAR SARI 3,28-Agu-06,19,"62,9",0 hari 1 jam 9 menit,Menengah,BEKASI JAYA,BEKASI TIMUR,KOTA BEKASI,17112,-6.22991667 107.01902778
TL09,WANCI MEKAR,29-Agu-06,19,"9,7",0 hari 0 jam 10 menit,DK,WANCIMEKAR,KOTA BARU,KARAWANG,41376,-6.39763889 107.48383333
TPGV,CIASEM,31-Agu-06,19,"36,1",0 hari 0 jam 39 menit,DK,CIASEM TENGAH,CIASEM,SUBANG,41256,-6.31858333 107.69363889
F859,AMPERA DUREN JAYA,9-Sep-06,19,"60,8",0 hari 1 jam 6 menit,Menengah,DUREN JAYA,BEKASI TIMUR,KOTA BEKASI,17111,-6.24202778 107.02147222
T74V,BULAK KAPAL BEKASI,29-Sep-06,19,"59,1",0 hari 1 jam 5 menit,Menengah,MARGAHAYU,BEKASI TIMUR,KOTA BEKASI,17113,-6.25422222 107.02316667
TL14,PATRIOT 2,17-Okt-06,19,68,0 hari 1 jam 14 menit,Menengah,JAKASAMPURNA,BEKASI BARAT,KOTA BEKASI,17145,-6.24666667 106.96547222
TL15,BUMI CIKAMPEK BARU,19-Okt-06,19,"11,6",0 hari 0 jam 12 menit,DK,BALONGGANDU,JATISARI,KARAWANG,41375,-6.38547222 107.50863889
TL16,BINTANG ALAM,20-Okt-06,19,"30,7",0 hari 0 jam 33 menit,DK,TELUK JAMBE,TELUKJAMBE TIMUR,KARAWANG,41360,-6.33591667 107.31958333
TL17,PRAMUKA KARAWANG,21-Nov-06,19,"35,8",0 hari 0 jam 39 menit,DK,NAGASARI,KARAWANG BARAT,KARAWANG,41312,-6.30472222 107.29752778
TL19,PEGADUNGAN KARAWANG,6-Des-06,19,"13,4",0 hari 0 jam 14 menit,DK,PURWASARI,PURWASARI,KARAWANG,41377,-6.394801 107.415971
TL21,KETAPANG-PEKAYON,16-Des-06,19,"64,4",0 hari 1 jam 10 menit,Menengah,PEKAYONJAYA,BEKASI SELATAN,KOTA BEKASI,17148,-6.26188889 106.98116667
F891,VILLA BEKASI INDAH,19-Des-06,19,65,0 hari 1 jam 11 menit,Menengah,SUMBER JAYA,TAMBUN SELATAN,BEKASI,17510,-6.223446 107.068038
FC69,CIKOPO,30-Des-06,19,"5,3",0 hari 0 jam 5 menit,DK,CIKOPO,BUNGURSARI,PURWAKARTA,41181,-6.42797222 107.48138889
FXXK,KIMANGUN SARKORO,18-Jan-07,19,62,0 hari 1 jam 8 menit,Menengah,BEKASI JAYA,BEKASI TIMUR,KOTA BEKASI,17112,-6.238544 107.007095
FC01,CIHUNI,17-Feb-07,19,21,0 hari 0 jam 23 menit,DK,LEBAKANYAR,PASAWAHAN,PURWAKARTA,41172,-6.57325 107.46280556
TH39,KOTA BUKIT INDAH,21-Feb-07,19,"0,3",0 hari 0 jam 0 menit,DK,DANGDEUR,BUNGURSARI,PURWAKARTA,41181,-6.449636 107.457368
TL37,GRIYA PESONA ASRI,19-Mar-07,19,"26,4",0 hari 0 jam 29 menit,DK,CIBALONG SARI,KLARI,KARAWANG,41371,-6.35311111 107.37538889
TL40,SETU CIBUNTU,27-Mar-07,19,"54,2",0 hari 0 jam 59 menit,Menengah,CIBUNTU,CIBITUNG,BEKASI,17520,-6.278536 107.076064
FEI4,LUMBU TIMUR,30-Mar-07,19,"62,4",0 hari 1 jam 8 menit,Menengah,BOJONG RAWA LUMBU,RAWA LUMBU,KOTA BEKASI,17116,-6.28522222 106.99906667
T8KT,SUHUD HIDAYAT,30-Mar-07,19,"30,5",0 hari 0 jam 33 menit,DK,WARUNG BAMBU,KARAWANG TIMUR,KARAWANG,41313,-6.32811111 107.32458333
F663,KONDANG JAYA,21-Apr-07,19,27,0 hari 0 jam 29 menit,DK,KONDANGJAYA,KARAWANG TIMUR,KARAWANG,41313,-6.33683333 107.34280556
TL44,SETU SERANG,27-Apr-07,19,"67,2",0 hari 1 jam 13 menit,Menengah,TAMAN RAHAYU,SETU,BEKASI,17320,-6.37083333 107.00819444
TH48,SOKLAT,30-Apr-07,19,"47,7",0 hari 0 jam 52 menit,Menengah,PASIRKAREUMBI,SUBANG,SUBANG,41211,-6.57477778 107.76816667
T8B2,H.DOLE,19-Jun-07,18,"65,4",0 hari 1 jam 11 menit,Menengah,PADURENAN,MUSTIKAJAYA,KOTA BEKASI,17156,-6.31469444 106.99761111
TV6Q,PEKAYON 4,25-Jun-07,18,"65,6",0 hari 1 jam 12 menit,Menengah,JAKASETIA,BEKASI SELATAN,KOTA BEKASI,17147,-6.27366667 106.97830556
TL55,PUNGUT,10-Jul-07,18,"66,9",0 hari 1 jam 13 menit,Menengah,BOJONG RAWA LUMBU,RAWA LUMBU,KOTA BEKASI,17116,-6.28608333 106.99125
TL58,KEDUNG WARINGIN,27-Jul-07,18,"39,6",0 hari 0 jam 43 menit,DK,KEDUNG WARINGIN,KEDUNG WARINGIN,BEKASI,17540,-6.271435 107.268125
TL62,SUNGAI BUNTU,14-Agu-07,18,"69,3",0 hari 1 jam 16 menit,Menengah,SUNGAI BUNTU,PEDES,KARAWANG,41353,-6.05833333 107.41225
FL23,MEGA REGENCY 2,25-Sep-07,18,"55,3",0 hari 1 jam 0 menit,Menengah,SUKARAGAM,SERANG BARU,BEKASI,17330,-6.38236111 107.11863889
FL26,BUMI SANI,29-Sep-07,18,"61,2",0 hari 1 jam 7 menit,Menengah,SETIAMEKAR,TAMBUN SELATAN,BEKASI,17510,-6.24333333 107.04977778
FE05,KEMAKMURAN BEKASI,29-Des-07,18,"64,7",0 hari 1 jam 11 menit,Menengah,MARGAJAYA,BEKASI SELATAN,KOTA BEKASI,17141,-6.24066667 106.99447222
T04L,PAPAN MAS 2,12-Mar-08,18,"60,8",0 hari 1 jam 6 menit,Menengah,SETIAMEKAR,TAMBUN SELATAN,BEKASI,17510,-6.25452778 107.05180556
T07L,VILLA CITRA BEKASI,29-Mar-08,18,"62,5",0 hari 1 jam 8 menit,Menengah,MANGUN JAYA,TAMBUN SELATAN,BEKASI,17510,-6.23780556 107.05680556
TQGT,KECEPET CILAMAYA,24-Apr-08,18,"29,8",0 hari 0 jam 32 menit,DK,MEKARMAYA,CILAMAYA WETAN,KARAWANG,41386,-6.25033333 107.58358333
T19L,GRAND WISATA,20-Jun-08,17,"53,8",0 hari 0 jam 59 menit,Menengah,LAMBANG JAYA,TAMBUN SELATAN,BEKASI,17510,-6.28202778 107.0465
T21L,VILLA MUTIARA JAYA,26-Jun-08,17,"61,2",0 hari 1 jam 7 menit,Menengah,WANAJAYA,CIBITUNG,BEKASI,17520,-6.24830556 107.09625
T23L,PURI CENDANA,26-Jun-08,17,"61,6",0 hari 1 jam 7 menit,Menengah,SUMBER JAYA,TAMBUN SELATAN,BEKASI,17510,-6.23605556 107.06769444
T22L,GRAHA PRIMA 2,27-Jun-08,17,"63,1",0 hari 1 jam 9 menit,Menengah,MANGUN JAYA,TAMBUN SELATAN,BEKASI,17510,-6.23213889 107.06147222
T24L,BUMYAGARA,15-Jul-08,17,"58,6",0 hari 1 jam 4 menit,Menengah,MUSTIKA JAYA,MUSTIKAJAYA,KOTA BEKASI,17158,-6.294833 107.025736
T27L,MUSTIKASARI,31-Jul-08,17,"61,8",0 hari 1 jam 7 menit,Menengah,MUSTIKA SARI,MUSTIKAJAYA,KOTA BEKASI,17157,-6.29191667 107.0035
TQHF,GABUS,31-Jul-08,17,"63,5",0 hari 1 jam 9 menit,Menengah,KAYURINGIN JAYA,BEKASI SELATAN,KOTA BEKASI,17144,-6.24686111 106.98461111
F93U,KEMANG PRATAMA 5,15-Agu-08,17,"68,4",0 hari 1 jam 15 menit,Menengah,BOJONG MENTENG,RAWA LUMBU,KOTA BEKASI,17117,-6.289878 106.97538
F95U,GALUH MAS,22-Agu-08,17,"34,1",0 hari 0 jam 37 menit,DK,SUKAHARJA,TELUKJAMBE TIMUR,KARAWANG,41360,-6.319117 107.292465
F12A,GADING ELOK,24-Agu-08,17,"27,9",0 hari 0 jam 30 menit,DK,KARAWANG WETAN,KARAWANG TIMUR,KARAWANG,41314,-6.308786 107.316634
T36O,PESONA GADING WANAJAYA,29-Agu-08,17,"65,2",0 hari 1 jam 11 menit,Menengah,WANAJAYA,CIBITUNG,BEKASI,17520,-6.24927778 107.10294444
TPCB,HARAPAN BARU 4,12-Sep-08,17,"66,7",0 hari 1 jam 13 menit,Menengah,KOTA BARU,BEKASI BARAT,KOTA BEKASI,17133,-6.219188 106.972638
T33L,GRAND WISATA 2,24-Okt-08,17,"55,3",0 hari 1 jam 0 menit,Menengah,LAMBANG SARI,TAMBUN SELATAN,BEKASI,17510,-6.27658 107.044131
T18H,CIPUNAGARA,29-Nov-08,17,60,0 hari 1 jam 6 menit,Menengah,TANJUNG,CIPUNAGARA,SUBANG,41257,-6.45830556 107.88294444
FD32,DIAN ANYAR,1-Jan-09,17,"13,2",0 hari 0 jam 14 menit,DK,CISEUREUH,PURWAKARTA,PURWAKARTA,41118,-6.51936111 107.46655556
F1H6,CIATER,30-Jan-09,17,75,0 hari 1 jam 22 menit,Menengah,PALASARI,CIATER,SUBANG,41280,-6.733754 107.651848
T50L,GRAHA MUSTIKA MEDIA,20-Feb-09,17,"60,8",0 hari 1 jam 6 menit,Menengah,LUBANG BUAYA,SETU,BEKASI,17320,-6.32122222 107.04691667
T3FE,BINTARA KENCANA,30-Mar-09,17,68,0 hari 1 jam 14 menit,Menengah,BINTARA,BEKASI BARAT,KOTA BEKASI,17134,-6.22111111 106.95936111
FC67,LETNAN ARSYAD 2,30-Apr-09,17,"64,3",0 hari 1 jam 10 menit,Menengah,KAYURINGIN JAYA,BEKASI SELATAN,KOTA BEKASI,17144,-6.24275 106.98275
FC67,LETNAN ARSYAD,30-Apr-09,17,"63,5",0 hari 1 jam 9 menit,Menengah,KAYURINGINJAYA,BEKASI SELATAN,KOTA BEKASI,17144,-6.243296 106.988101
T64L,BEKASI MAS,29-Mei-09,16,"64,4",0 hari 1 jam 10 menit,Menengah,MARGAJAYA,BEKASI SELATAN,KOTA BEKASI,17141,-6.24063889 106.99322222
T71L,KEMANDORAN TUGU,26-Jun-09,16,"63,9",0 hari 1 jam 10 menit,Menengah,PEKAYONJAYA,BEKASI SELATAN,KOTA BEKASI,17148,-6.26027778 106.98413889
T72L,WIJAYA KUSUMA,29-Jun-09,16,"70,5",0 hari 1 jam 17 menit,Menengah,JAKASAMPURNA,BEKASI BARAT,KOTA BEKASI,17145,-6.23786111 106.97819444
T74L,BINTARA JAYA 2,14-Jul-09,16,"69,5",0 hari 1 jam 16 menit,Menengah,BINTARA JAYA,BEKASI BARAT,KOTA BEKASI,17136,-6.24611111 106.94769444
T78L,VIDA BEKASI,31-Jul-09,16,"63,1",0 hari 1 jam 9 menit,Menengah,PADURENAN,MUSTIKAJAYA,KOTA BEKASI,17156,-6.31544444 107.00183333
T85L,CIBARUSAH 5,28-Agu-09,16,"60,4",0 hari 1 jam 6 menit,Menengah,CIBARUSAH KOTA,CIBARUSAH,BEKASI,17340,-6.438261 107.0767
T6HL,PAMANUKAN 2,31-Agu-09,16,"51,2",0 hari 0 jam 56 menit,Menengah,RANCASARI,PAMANUKAN,SUBANG,41264,-6.29372222 107.82063889
T86L,KUSUMA RAYA,31-Agu-09,16,"62,6",0 hari 1 jam 8 menit,Menengah,DUREN JAYA,BEKASI TIMUR,KOTA BEKASI,17111,-6.23822222 107.0275
FFBM,GRAMA PURI,7-Sep-09,16,"59,2",0 hari 1 jam 5 menit,Menengah,WANASARI,CIBITUNG,BEKASI,17520,-6.25666667 107.08291667
T91L,PULO BINTAN,15-Sep-09,16,"63,2",0 hari 1 jam 9 menit,Menengah,AREN JAYA,BEKASI TIMUR,KOTA BEKASI,17111,-6.23927778 107.03305556
T95L,JEND. SUDIRMAN,23-Okt-09,16,"8,9",0 hari 0 jam 9 menit,DK,WANCIMEKAR,KOTA BARU,KARAWANG,41376,-6.40947222 107.47397222
T96L,TAMAN NAROGONG 4,31-Okt-09,16,"61,6",0 hari 1 jam 7 menit,Menengah,BOJONG RAWA LUMBU,RAWA LUMBU,KOTA BEKASI,17116,-6.28408333 107.00438889
TMF9,K.H.MASUD,13-Nov-09,16,"58,1",0 hari 1 jam 3 menit,Menengah,TRIDAYA SAKTI,TAMBUN SELATAN,BEKASI,17510,-6.25522222 107.07552778
F94R,KASOMALANG,20-Nov-09,16,"70,1",0 hari 1 jam 17 menit,Menengah,KASOMALANG WETAN,KASOMALANG,SUBANG,41287,-6.69762 107.734746
TLL4,SUMBER JAYA 2,8-Des-09,16,"61,7",0 hari 1 jam 7 menit,Menengah,SUMBER JAYA,TAMBUN SELATAN,BEKASI,17510,-6.235758 107.072518
TLL6,BULAK KAPAL 2,24-Des-09,16,"60,2",0 hari 1 jam 6 menit,Menengah,JATI MULYA,TAMBUN SELATAN,BEKASI,17510,-6.25388889 107.02691667
F28G,BLANAKAN,28-Des-09,16,"40,7",0 hari 0 jam 44 menit,Menengah,BLANAKAN,BLANAKAN,SUBANG,41259,-6.279349 107.665921
TLL9,ARMED 2,30-Des-09,16,"68,9",0 hari 1 jam 15 menit,Menengah,CIKIWUL,BANTAR GEBANG,KOTA BEKASI,17152,-6.34133333 106.99
TL1L,CENDRAWASIH,16-Jan-10,16,"64,4",0 hari 1 jam 10 menit,Menengah,KAYURINGIN JAYA,BEKASI SELATAN,KOTA BEKASI,17144,-6.23633333 106.98269444
TR04,PASIR RANDU,10-Feb-10,16,"53,7",0 hari 0 jam 59 menit,Menengah,SUKASARI,SERANG BARU,BEKASI,17330,-6.37833333 107.11219444
TXH6,PULO PERMATASARI,10-Feb-10,16,"65,8",0 hari 1 jam 12 menit,Menengah,PEKAYONJAYA,BEKASI SELATAN,KOTA BEKASI,17148,-6.255439 106.974628
T1WQ,KALIJATI 2,25-Feb-10,16,"34,1",0 hari 0 jam 37 menit,DK,KALIJATI TIMUR,KALIJATI,SUBANG,41271,-6.52280556 107.67388889
FQD7,REST AREA 97 B,29-Mar-10,16,"86,7",0 hari 1 jam 35 menit,Menengah,SADARKARYA,DARANGDAN,PURWAKARTA,41163,-6.674413 107.438916
FL4T,SAUNG INDAH KARAWANG,9-Apr-10,16,"27,9",0 hari 0 jam 30 menit,DK,BENGLE,MAJALAYA,KARAWANG,41370,-6.33386111 107.34822222
TB38,KIRANA CIBITUNG,21-Mei-10,16,"61,7",0 hari 1 jam 7 menit,Menengah,WANAJAYA,CIBITUNG,BEKASI,17520,-6.24616667 107.11194444
TB59,PULO RIBUNG 2,29-Mei-10,15,66,0 hari 1 jam 12 menit,Menengah,PEKAYONJAYA,BEKASI SELATAN,KOTA BEKASI,17148,-6.26688889 106.97283333
TB60,DASA DHARMA 2,29-Mei-10,15,"61,3",0 hari 1 jam 7 menit,Menengah,BOJONG RAWA LUMBU,RAWA LUMBU,KOTA BEKASI,17116,-6.27991667 106.99891667
TQ02,JOMIN CIKAMPEK,25-Jun-10,15,"6,8",0 hari 0 jam 7 menit,DK,JOMIN BARAT,KOTA BARU,KARAWANG,41376,-6.41591667 107.48319444
FR93,GRIYA INDAH KARAWANG,15-Jul-10,15,"24,5",0 hari 0 jam 26 menit,DK,PARUNGMULYA,CIAMPEL,KARAWANG,41363,-6.35711111 107.30833333
TD08,JUANDA CIKAMPEK 2,20-Jul-10,15,"6,3",0 hari 0 jam 6 menit,DK,JOMIN BARAT,KOTA BARU,KARAWANG,41376,-6.42163889 107.47566667
TD53,TAMAN GALAXY 3,19-Agu-10,15,"66,3",0 hari 1 jam 12 menit,Menengah,JAKASETIA,BEKASI SELATAN,KOTA BEKASI,17147,-6.259593 106.971045
TD80,JATISARI CIKAMPEK,3-Sep-10,15,"13,5",0 hari 0 jam 14 menit,DK,MEKARSARI,JATISARI,KARAWANG,41375,-6.37180556 107.52122222
TD87,TANJUNG SIANG,8-Sep-10,15,"82,1",0 hari 1 jam 30 menit,Menengah,TANJUNGSIANG,TANJUNGSIANG,SUBANG,41284,-6.74733333 107.80541667
T42B,MEKARSARI RAYA,30-Sep-10,15,"62,9",0 hari 1 jam 9 menit,Menengah,BEKASI JAYA,BEKASI TIMUR,KOTA BEKASI,17112,-6.23288889 107.01127778
T01D,MAS NAGA,31-Okt-10,15,"67,1",0 hari 1 jam 13 menit,Menengah,JAKAMULYA,BEKASI SELATAN,KOTA BEKASI,17146,-6.26044444 106.95997222
FD76,GRAMA PURI PERSADA,9-Nov-10,15,"53,9",0 hari 0 jam 59 menit,Menengah,SUKAJAYA,CIBITUNG,BEKASI,17520,-6.24058333 107.14355556
T57D,SUKASARI,30-Nov-10,15,"54,9",0 hari 1 jam 0 menit,Menengah,SUKASARI,SERANG BARU,BEKASI,17330,-6.38544444 107.10363889
T90G,MT.HARYONO,12-Des-10,15,"48,4",0 hari 0 jam 53 menit,Menengah,CIGADUNG,SUBANG,SUBANG,41213,-6.56713889 107.75586111
T82D,LAPANGAN BINTARA,23-Des-10,15,67,0 hari 1 jam 13 menit,Menengah,KRANJI,BEKASI BARAT,KOTA BEKASI,17135,-6.23422222 106.97033333
T90D,BUMI TELUK JAMBE,30-Des-10,15,"33,9",0 hari 0 jam 37 menit,DK,SUKALUYU,TELUKJAMBE TIMUR,KARAWANG,41360,-6.33236111 107.28666667
T03Q,CIKAMPEK RAYA,10-Jan-11,15,"9,7",0 hari 0 jam 10 menit,DK,PANGULAH BARU,KOTA BARU,KARAWANG,41376,-6.39480556 107.49666667
T33Q,MARGAHAYU RAYA,9-Feb-11,15,"58,6",0 hari 1 jam 4 menit,Menengah,MARGAHAYU,BEKASI TIMUR,KOTA BEKASI,17113,-6.25908333 107.01675
TK37,SUTAATMADJA,31-Mar-11,15,"48,5",0 hari 0 jam 53 menit,Menengah,KARANGANYAR,SUBANG,SUBANG,41211,-6.563936 107.76166
TPXL,PASAR REBO,24-Apr-11,15,"20,5",0 hari 0 jam 22 menit,DK,NAGRIKIDUL,PURWAKARTA,PURWAKARTA,41111,-6.562722 107.449389
T97J,AHMAD YANI SUBANG,30-Apr-11,15,"48,2",0 hari 0 jam 53 menit,Menengah,PASIRKAREUMBI,SUBANG,SUBANG,41211,-6.573701 107.757326
TR34,MUTIARA GADING TIMUR 2,30-Apr-11,15,"56,8",0 hari 1 jam 2 menit,Menengah,MUSTIKA JAYA,MUSTIKAJAYA,KOTA BEKASI,17158,-6.28580556 107.03175
TR39,WANAYASA BARU,10-Mei-11,15,48,0 hari 0 jam 52 menit,Menengah,WANAYASA,WANAYASA,PURWAKARTA,41174,-6.68125 107.55686111
TAW1,GRIYA ASRI RAYA,14-Mei-11,15,"62,9",0 hari 1 jam 9 menit,Menengah,SUMBER JAYA,TAMBUN SELATAN,BEKASI,17510,-6.22766667 107.07897222
F97I,TUNGGAK JATI,18-Mei-11,15,"40,5",0 hari 0 jam 44 menit,Menengah,TUNGGAKJATI,KARAWANG BARAT,KARAWANG,41311,-6.25663889 107.27938889
TS14,PURI CENDANA RAYA,31-Mei-11,14,61,0 hari 1 jam 7 menit,Menengah,SUMBER JAYA,TAMBUN SELATAN,BEKASI,17510,-6.24047222 107.06811111
TARL,CRM SUMUR BATU,1-Jun-11,14,"63,8",0 hari 1 jam 10 menit,Menengah,SUMUR BATU,BANTAR GEBANG,KOTA BEKASI,17154,-6.34730556 107.01297222
TS55,TEMPURAN,27-Jun-11,14,"41,1",0 hari 0 jam 45 menit,Menengah,TEMPURAN,TEMPURAN,KARAWANG,41385,-6.19176667 107.47505278
TYAU,CIKANGKUNG,28-Jun-11,14,"52,5",0 hari 0 jam 57 menit,Menengah,RENGASDENGKLOK UTARA,RENGASDENGKLOK,KARAWANG,41352,-6.144651 107.300543
FR9K,WALAHAR RAYA,31-Jul-11,14,"19,8",0 hari 0 jam 21 menit,DK,WALAHAR,KLARI,KARAWANG,41371,-6.38194444 107.37136111
TT49,ANGGADITA,24-Agu-11,14,22,0 hari 0 jam 24 menit,DK,GINTUNG KERTA,KLARI,KARAWANG,41371,-6.35147222 107.34477778
